event_id,event_window_start,failure_time,context_start,context_end,event_window_minutes,detected,first_correct_alert_time,first_correct_lead_time_minutes,n_alerts_in_context,n_correct_alerts_in_event_window,n_false_alerts_before_event_window,n_false_alerts_after_failure,config_label,approach,model,feature_set,neg_pos_ratio,threshold,sampling_strategy
6,2018-07-07 23:11:00,2018-07-08 00:11:00,2018-07-07 17:11:00,2018-07-08 01:11:00,60.0,True,2018-07-07 23:16:00,55.0,3,1,1,1,logistic_undersampling model: logistic + E_low_corr | ratio=200.0 | threshold=0.97,logistic_undersampling,logistic,E_low_corr,200.0,0.97,external_undersampling
7,2018-07-25 13:00:00,2018-07-25 14:00:00,2018-07-25 07:00:00,2018-07-25 15:00:00,60.0,True,2018-07-25 13:54:00,6.0,7,1,6,0,logistic_undersampling model: logistic + E_low_corr | ratio=200.0 | threshold=0.97,logistic_undersampling,logistic,E_low_corr,200.0,0.97,external_undersampling
6,2018-07-07 23:11:00,2018-07-08 00:11:00,2018-07-07 17:11:00,2018-07-08 01:11:00,60.0,True,2018-07-07 23:15:00,56.0,2,1,0,1,nn_undersampling model: mlp + E_low_corr | ratio=20.0 | threshold=0.09,nn_undersampling,mlp,E_low_corr,20.0,0.09,external_undersampling
7,2018-07-25 13:00:00,2018-07-25 14:00:00,2018-07-25 07:00:00,2018-07-25 15:00:00,60.0,True,2018-07-25 13:45:00,15.0,7,1,6,0,nn_undersampling model: mlp + E_low_corr | ratio=20.0 | threshold=0.09,nn_undersampling,mlp,E_low_corr,20.0,0.09,external_undersampling
6,2018-07-07 23:11:00,2018-07-08 00:11:00,2018-07-07 17:11:00,2018-07-08 01:11:00,60.0,True,2018-07-08 00:10:00,1.0,2,1,0,1,ml_no_undersampling model: random_forest + E_low_corr | ratio=None | threshold=0.16,ml_no_undersampling,random_forest,E_low_corr,,0.16,no_undersampling
7,2018-07-25 13:00:00,2018-07-25 14:00:00,2018-07-25 07:00:00,2018-07-25 15:00:00,60.0,True,2018-07-25 13:50:00,10.0,3,1,2,0,ml_no_undersampling model: random_forest + E_low_corr | ratio=None | threshold=0.16,ml_no_undersampling,random_forest,E_low_corr,,0.16,no_undersampling
6,2018-07-07 23:11:00,2018-07-08 00:11:00,2018-07-07 17:11:00,2018-07-08 01:11:00,60.0,True,2018-07-08 00:10:00,1.0,3,1,1,1,ml_undersampling model: random_forest + E_low_corr | ratio=10.0 | threshold=0.28,ml_undersampling,random_forest,E_low_corr,10.0,0.28,external_undersampling
7,2018-07-25 13:00:00,2018-07-25 14:00:00,2018-07-25 07:00:00,2018-07-25 15:00:00,60.0,True,2018-07-25 13:30:00,30.0,5,1,4,0,ml_undersampling model: random_forest + E_low_corr | ratio=10.0 | threshold=0.28,ml_undersampling,random_forest,E_low_corr,10.0,0.28,external_undersampling
6,2018-07-07 23:11:00,2018-07-08 00:11:00,2018-07-07 17:11:00,2018-07-08 01:11:00,60.0,True,2018-07-07 23:13:00,58.0,3,1,1,1,ml_no_undersampling model: easy_ensemble + E_low_corr | ratio=None | threshold=0.45,ml_no_undersampling,easy_ensemble,E_low_corr,,0.45,no_undersampling
7,2018-07-25 13:00:00,2018-07-25 14:00:00,2018-07-25 07:00:00,2018-07-25 15:00:00,60.0,True,2018-07-25 13:57:00,3.0,6,1,5,0,ml_no_undersampling model: easy_ensemble + E_low_corr | ratio=None | threshold=0.45,ml_no_undersampling,easy_ensemble,E_low_corr,,0.45,no_undersampling
6,2018-07-07 23:11:00,2018-07-08 00:11:00,2018-07-07 17:11:00,2018-07-08 01:11:00,60.0,False,,,1,0,0,1,ml_undersampling model: linear_svc + E_low_corr | ratio=20.0 | threshold=0.47,ml_undersampling,linear_svc,E_low_corr,20.0,0.47,external_undersampling
7,2018-07-25 13:00:00,2018-07-25 14:00:00,2018-07-25 07:00:00,2018-07-25 15:00:00,60.0,True,2018-07-25 13:54:00,6.0,1,1,0,0,ml_undersampling model: linear_svc + E_low_corr | ratio=20.0 | threshold=0.47,ml_undersampling,linear_svc,E_low_corr,20.0,0.47,external_undersampling
6,2018-07-07 23:11:00,2018-07-08 00:11:00,2018-07-07 17:11:00,2018-07-08 01:11:00,60.0,False,,,1,0,0,1,nn_undersampling model: mlp_pca + E_low_corr | ratio=20.0 | threshold=0.95,nn_undersampling,mlp_pca,E_low_corr,20.0,0.95,external_undersampling
7,2018-07-25 13:00:00,2018-07-25 14:00:00,2018-07-25 07:00:00,2018-07-25 15:00:00,60.0,True,2018-07-25 13:54:00,6.0,1,1,0,0,nn_undersampling model: mlp_pca + E_low_corr | ratio=20.0 | threshold=0.95,nn_undersampling,mlp_pca,E_low_corr,20.0,0.95,external_undersampling
6,2018-07-07 23:11:00,2018-07-08 00:11:00,2018-07-07 17:11:00,2018-07-08 01:11:00,60.0,True,2018-07-08 00:04:00,7.0,2,1,0,1,nn_undersampling model: mlp_pca + B_raw_plus_missing | ratio=10.0 | threshold=0.96,nn_undersampling,mlp_pca,B_raw_plus_missing,10.0,0.96,external_undersampling
7,2018-07-25 13:00:00,2018-07-25 14:00:00,2018-07-25 07:00:00,2018-07-25 15:00:00,60.0,False,,,0,0,0,0,nn_undersampling model: mlp_pca + B_raw_plus_missing | ratio=10.0 | threshold=0.96,nn_undersampling,mlp_pca,B_raw_plus_missing,10.0,0.96,external_undersampling
6,2018-07-07 23:11:00,2018-07-08 00:11:00,2018-07-07 17:11:00,2018-07-08 01:11:00,60.0,False,,,0,0,0,0,nn_undersampling model: focal_mlp + B_raw_plus_missing | ratio=10.0 | threshold=0.87,nn_undersampling,focal_mlp,B_raw_plus_missing,10.0,0.87,external_undersampling
7,2018-07-25 13:00:00,2018-07-25 14:00:00,2018-07-25 07:00:00,2018-07-25 15:00:00,60.0,False,,,0,0,0,0,nn_undersampling model: focal_mlp + B_raw_plus_missing | ratio=10.0 | threshold=0.87,nn_undersampling,focal_mlp,B_raw_plus_missing,10.0,0.87,external_undersampling
6,2018-07-07 23:11:00,2018-07-08 00:11:00,2018-07-07 17:11:00,2018-07-08 01:11:00,60.0,False,,,0,0,0,0,nn_undersampling model: mlp + B_raw_plus_missing | ratio=10.0 | threshold=0.89,nn_undersampling,mlp,B_raw_plus_missing,10.0,0.89,external_undersampling
7,2018-07-25 13:00:00,2018-07-25 14:00:00,2018-07-25 07:00:00,2018-07-25 15:00:00,60.0,False,,,0,0,0,0,nn_undersampling model: mlp + B_raw_plus_missing | ratio=10.0 | threshold=0.89,nn_undersampling,mlp,B_raw_plus_missing,10.0,0.89,external_undersampling
